생산ID,생산일자,설비ID,작업자ID,제품유형,교대,생산수량,온도,압력,진동,사이클타임,불량수량
MAR-00289,2026-03-20,M04,OP022,기어,주간,105,52.4,115.9,3.15,35.9,2
MAR-00290,2026-03-27,M07,OP005,브라켓,주간,197,61.8,106.6,3.25,46.2,3
MAR-00291,2026-03-10,M08,OP024,샤프트,주간,249,48.9,100.6,3.4,57.5,5
MAR-00292,2026-03-31,M07,OP016,브라켓,야간,181,53.3,87.4,3.25,61.2,5
MAR-00293,2026-03-30,M07,OP010,브라켓,주간,238,53.4,115.4,3.83,45.1,3
MAR-00294,2026-03-04,M05,OP014,브라켓,주간,146,58.0,119.2,3.18,46.8,3
MAR-00295,2026-03-22,M02,OP016,샤프트,야간,247,57.2,96.9,4.6,42.1,9
MAR-00296,2026-03-15,M06,OP007,샤프트,주간,171,59.3,95.8,3.24,52.4,3
MAR-00297,2026-03-09,M11,OP019,하우징,주간,104,56.6,119.9,1.84,58.7,1
MAR-00298,2026-03-13,M09,OP019,샤프트,야간,141,59.0,97.3,3.71,56.8,3
MAR-00299,2026-03-29,M10,OP012,샤프트,야간,163,49.6,126.3,3.51,47.8,3
MAR-00300,2026-03-29,M09,OP014,샤프트,주간,91,57.3,103.7,3.23,42.1,2
MAR-00301,2026-03-11,M12,OP019,하우징,주간,232,64.6,100.4,2.99,48.1,3
MAR-00302,2026-03-15,M03,OP016,하우징,주간,120,44.9,105.5,1.51,57.7,2
MAR-00303,2026-03-17,M09,OP014,샤프트,주간,194,57.9,100.4,1.64,45.2,2
MAR-00304,2026-03-23,M01,OP029,브라켓,주간,236,59.1,118.5,4.52,35.3,7
MAR-00305,2026-03-15,M03,OP027,하우징,주간,153,63.8,115.6,2.73,45.5,2
MAR-00306,2026-03-13,M01,OP012,샤프트,야간,183,59.4,118.1,3.97,46.0,5
MAR-00307,2026-03-29,M06,OP022,기어,야간,167,55.6,107.2,1.92,35.3,4
MAR-00308,2026-03-12,M02,OP025,샤프트,야간,209,57.6,99.5,2.36,49.6,5
MAR-00309,2026-03-09,M05,OP004,브라켓,야간,86,50.6,104.9,3.74,51.5,2
MAR-00310,2026-03-11,M02,OP018,하우징,주간,141,52.7,99.9,3.12,61.0,1
MAR-00311,2026-03-11,M01,OP024,하우징,주간,183,47.0,122.6,3.63,38.7,3
MAR-00312,2026-03-18,M06,OP002,하우징,주간,95,63.9,117.0,3.19,53.1,1
MAR-00313,2026-03-21,M05,OP011,샤프트,주간,226,57.7,103.9,3.03,54.8,4
MAR-00314,2026-03-05,M06,OP024,브라켓,주간,187,49.5,93.9,2.66,51.6,4
MAR-00315,2026-03-28,M05,OP029,브라켓,야간,80,56.6,123.5,2.24,41.0,2
MAR-00316,2026-03-08,M05,OP030,하우징,주간,82,62.0,106.6,4.32,40.5,3
MAR-00317,2026-03-04,M01,OP019,기어,주간,107,61.0,103.4,4.45,48.7,3
MAR-00318,2026-03-21,M06,OP002,샤프트,주간,192,49.4,123.6,2.37,48.6,3
MAR-00319,2026-03-07,M11,OP001,샤프트,야간,168,36.2,98.9,2.32,44.1,5
MAR-00320,2026-03-24,M02,OP025,샤프트,야간,161,57.4,101.2,2.92,57.0,4
MAR-00321,2026-03-30,M02,OP023,하우징,주간,175,49.7,102.2,3.47,45.2,3
MAR-00322,2026-03-22,M10,OP006,하우징,주간,164,58.7,89.2,3.05,34.7,5
MAR-00323,2026-03-25,M07,OP004,브라켓,야간,138,60.7,108.8,3.6,46.4,4
MAR-00324,2026-03-16,M04,OP005,샤프트,주간,81,61.7,95.9,3.16,51.4,1
MAR-00325,2026-03-11,M10,OP027,샤프트,야간,84,65.5,98.2,3.11,50.4,2
MAR-00326,2026-03-20,M04,OP023,샤프트,야간,197,62.4,96.5,5.13,50.3,9
MAR-00327,2026-03-12,M08,OP029,브라켓,야간,206,65.5,98.0,2.78,58.5,5
MAR-00328,2026-03-28,M07,OP004,하우징,주간,120,63.3,94.9,4.51,40.2,4
MAR-00329,2026-03-15,M03,OP021,기어,야간,121,63.8,108.0,4.36,45.0,5
MAR-00330,2026-03-16,M10,OP028,하우징,주간,149,54.8,103.1,3.6,58.8,3
MAR-00331,2026-03-21,M08,OP016,기어,주간,189,47.3,105.6,1.66,34.2,4
MAR-00332,2026-03-06,M03,OP024,샤프트,주간,180,69.9,133.2,3.22,47.6,4
MAR-00333,2026-03-18,M10,OP019,샤프트,주간,175,55.4,103.1,2.79,56.6,4
MAR-00334,2026-03-24,M08,OP001,샤프트,주간,86,62.4,112.3,3.22,56.5,2
MAR-00335,2026-03-25,M11,OP013,샤프트,야간,153,51.7,113.6,2.35,52.6,3
MAR-00336,2026-03-07,M10,OP008,기어,야간,207,60.8,104.2,3.81,52.8,7
MAR-00337,2026-03-02,M04,OP003,기어,주간,180,40.3,108.3,3.99,40.7,2
MAR-00338,2026-03-07,M12,OP018,하우징,야간,217,52.5,105.2,4.14,57.6,8
MAR-00339,2026-03-26,M01,OP028,기어,야간,198,54.4,107.4,2.89,39.6,3
MAR-00340,2026-03-09,M05,OP002,기어,주간,232,57.8,98.0,2.35,40.0,4
MAR-00341,2026-03-02,M08,OP010,브라켓,야간,177,61.4,99.1,3.48,50.7,4
MAR-00342,2026-03-19,M07,OP021,기어,야간,176,48.4,105.2,4.6,44.5,6
MAR-00343,2026-03-28,M03,OP010,하우징,야간,174,59.0,81.3,3.26,49.4,5
MAR-00344,2026-03-07,M03,OP004,샤프트,주간,124,62.4,123.0,3.56,51.0,2
MAR-00345,2026-03-02,M10,OP006,하우징,야간,154,69.1,130.9,3.01,60.4,4
MAR-00346,2026-03-05,M11,OP001,기어,야간,108,59.2,107.0,2.8,51.0,3
MAR-00347,2026-03-04,M09,OP030,샤프트,주간,153,52.2,113.0,3.73,43.7,2
MAR-00348,2026-03-07,M07,OP015,샤프트,주간,105,47.4,118.0,3.12,52.7,1
MAR-00349,2026-03-06,M10,OP029,하우징,주간,163,66.0,89.1,3.52,42.2,4
MAR-00350,2026-03-20,M03,OP021,하우징,주간,242,59.4,116.1,3.61,54.4,4
MAR-00351,2026-03-07,M12,OP011,하우징,주간,156,54.9,99.9,3.48,48.5,3
MAR-00352,2026-03-17,M02,OP029,기어,주간,205,45.3,132.5,3.65,50.8,5
MAR-00353,2026-03-13,M08,OP008,하우징,야간,154,49.4,102.7,2.52,35.5,3
MAR-00354,2026-03-21,M05,OP006,하우징,야간,234,58.8,115.9,2.47,32.2,5
MAR-00355,2026-03-21,M11,OP025,샤프트,주간,115,57.1,102.9,3.17,37.5,2
MAR-00356,2026-03-19,M03,OP017,기어,주간,221,43.3,131.4,3.19,60.2,4
MAR-00357,2026-03-28,M08,OP013,기어,주간,203,58.8,98.9,2.78,40.0,5
MAR-00358,2026-03-07,M02,OP018,브라켓,주간,231,45.6,119.0,3.39,53.1,2
MAR-00359,2026-03-17,M03,OP030,기어,야간,102,63.1,112.5,3.93,43.5,2
MAR-00360,2026-03-13,M05,OP009,기어,주간,232,56.3,109.9,4.15,46.3,5
MAR-00361,2026-03-17,M10,OP028,브라켓,야간,234,52.2,107.7,4.33,47.7,10
MAR-00362,2026-03-05,M04,OP028,브라켓,주간,130,60.9,97.0,2.15,59.5,2
MAR-00363,2026-03-10,M09,OP023,샤프트,주간,186,57.1,74.0,2.27,52.1,3
MAR-00364,2026-03-30,M07,OP005,브라켓,야간,179,62.9,117.9,2.97,50.7,3
MAR-00365,2026-03-25,M12,OP003,샤프트,주간,88,55.5,99.1,3.26,57.1,1
MAR-00366,2026-03-14,M04,OP004,브라켓,주간,169,55.8,119.0,3.01,43.6,4
MAR-00367,2026-03-04,M03,OP022,샤프트,주간,192,53.3,109.2,2.76,55.5,4
MAR-00368,2026-03-21,M11,OP012,기어,야간,114,56.6,119.4,2.96,54.3,3
MAR-00369,2026-03-10,M04,OP030,브라켓,주간,141,65.2,114.6,3.59,54.2,1
MAR-00370,2026-03-11,M03,OP001,샤프트,야간,179,52.0,75.4,2.14,46.9,4
MAR-00371,2026-03-04,M10,OP012,브라켓,야간,238,58.9,112.4,5.07,44.9,9
MAR-00372,2026-03-09,M10,OP008,기어,야간,90,49.7,100.9,,41.9,2
MAR-00373,2026-03-07,M01,OP027,샤프트,야간,239,42.6,119.0,4.04,42.3,10
MAR-00374,2026-03-02,M11,OP004,브라켓,야간,218,56.2,112.1,2.74,41.6,6
MAR-00375,2026-03-19,M08,OP013,기어,야간,223,57.2,112.2,3.66,50.6,5
MAR-00376,2026-03-31,M04,OP027,브라켓,주간,88,54.3,101.7,3.28,46.4,2
MAR-00377,2026-03-04,M07,OP030,브라켓,야간,176,46.0,94.0,9.2,51.0,4
MAR-00378,2026-03-02,M03,OP028,샤프트,야간,142,56.8,99.8,3.04,51.4,4
MAR-00379,2026-03-04,M03,OP020,샤프트,주간,236,56.6,83.4,4.44,40.6,10
MAR-00380,2026-03-17,M02,OP005,기어,야간,205,49.7,97.9,2.01,40.4,4
MAR-00188,2026-03-06,M04,OP005,하우징,야간,104,48.2,120.3,3.82,50.1,3
MAR-00211,2026-03-10,M07,OP001,샤프트,야간,97,50.3,102.6,4.03,46.7,3
MAR-00314,2026-03-05,M06,OP024,브라켓,주간,187,49.5,93.9,2.66,51.6,4
MAR-00236,2026-03-12,M12,OP004,기어,야간,187,49.3,119.3,1.51,40.3,4
