주문ID,주문일자,고객ID,상품ID,수량,할인율,결제수단,판매채널,환불여부
Q1-00370,2026-02-11,2085,3048,2,0.05,무통장,모바일앱,정상
Q1-00371,2026-02-01,2084,3005,1,0.0,카드,웹,정상
Q1-00372,2026-02-25,2098,3041,3,0.1,계좌이체,오프라인,정상
Q1-00373,2026-03-06,2139,3029,3,0.0,카드,모바일앱,정상
Q1-00374,2026-03-07,2135,3042,1,0.1,카드,웹,정상
Q1-00375,2026-02-22,2018,3025,3,0.1,계좌이체,웹,환불
Q1-00376,2026-02-19,2096,3009,2,0.1,간편결제,모바일앱,환불
Q1-00377,2026-02-14,2061,3042,2,0.0,카드,모바일앱,정상
Q1-00378,2026-01-22,2128,3035,1,0.0,간편결제,웹,정상
Q1-00379,2026-02-13,2081,3026,2,0.05,간편결제,웹,정상
Q1-00380,2026-01-01,2159,3021,2,0.05,카드,웹,정상
Q1-00381,2026-03-28,2070,3019,1,0.2,카드,모바일앱,정상
Q1-00382,2026-02-03,2109,3027,3,0.0,카드,오프라인,정상
Q1-00383,2026-03-10,2018,3015,2,0.15,카드,모바일앱,정상
Q1-00384,2026-03-28,2150,3016,1,0.0,계좌이체,웹,정상
Q1-00385,2026-02-14,2025,3016,3,0.0,카드,모바일앱,정상
Q1-00386,2026-03-19,2061,3001,1,0.0,카드,모바일앱,정상
Q1-00387,2026-02-13,2135,3052,5,0.1,간편결제,웹,정상
Q1-00388,2026-01-12,2155,3014,3,0.0,계좌이체,웹,정상
Q1-00389,2026-01-03,2078,3010,5,0.0,계좌이체,모바일앱,정상
Q1-00390,2026-01-13,2078,3009,5,0.1,계좌이체,모바일앱,정상
Q1-00391,2026-03-26,2008,3055,5,0.05,카드,모바일앱,정상
Q1-00392,2026-02-12,2157,3027,3,0.0,간편결제,모바일앱,정상
Q1-00393,2026-01-29,2003,3018,3,0.0,카드,모바일앱,정상
Q1-00394,2026-02-10,2005,3023,4,0.05,카드,웹,정상
Q1-00395,2026-01-24,2076,3005,1,0.0,카드,웹,정상
Q1-00396,2026-03-20,2001,3018,5,0.0,계좌이체,웹,정상
Q1-00397,2026-03-31,2027,3014,2,0.05,계좌이체,모바일앱,정상
Q1-00398,2026-01-08,2101,3045,1,0.0,카드,모바일앱,정상
Q1-00399,2026-03-06,2113,3004,2,0.05,간편결제,웹,정상
Q1-00400,2026-01-31,2048,3024,2,0.0,간편결제,웹,정상
Q1-00401,2026-01-05,2128,3044,1,0.0,카드,모바일앱,정상
Q1-00402,2026-03-24,2098,3046,4,0.0,간편결제,모바일앱,정상
Q1-00403,2026-01-06,2037,3029,1,0.0,카드,모바일앱,정상
Q1-00404,2026-01-19,2114,3013,5,0.0,무통장,웹,정상
Q1-00405,2026-01-03,2095,3019,3,0.0,카드,오프라인,정상
Q1-00406,2026-02-12,2130,3013,4,0.2,카드,모바일앱,정상
Q1-00407,2026-02-23,2025,3037,2,0.15,카드,모바일앱,정상
Q1-00408,2026-01-29,2037,3017,1,0.0,카드,모바일앱,정상
Q1-00409,2026-01-07,2049,3035,1,0.05,간편결제,오프라인,정상
Q1-00410,2026-01-11,2055,3037,4,0.05,계좌이체,오프라인,정상
Q1-00411,2026-03-26,2143,3052,4,0.15,카드,모바일앱,정상
Q1-00412,2026-03-14,2118,3021,2,0.0,계좌이체,모바일앱,정상
Q1-00413,2026-03-26,2088,3053,2,0.0,간편결제,모바일앱,정상
Q1-00414,2026-02-17,2087,3023,5,0.0,간편결제,모바일앱,정상
Q1-00415,2026-02-19,2142,3038,5,0.0,계좌이체,모바일앱,정상
Q1-00416,2026-03-12,2072,3037,3,0.0,카드,웹,정상
Q1-00417,2026-02-25,2037,3045,2,0.15,카드,웹,정상
Q1-00418,2026-02-09,2022,3026,2,0.2,간편결제,오프라인,정상
Q1-00419,2026-01-27,2053,3044,3,0.0,간편결제,모바일앱,정상
Q1-00420,2026-02-13,2105,3020,3,0.05,계좌이체,오프라인,정상
Q1-00421,2026-01-06,2076,3028,1,0.0,간편결제,모바일앱,정상
Q1-00422,2026-01-18,2068,3028,1,0.05,카드,모바일앱,정상
Q1-00423,2026-03-08,2077,3039,3,0.05,간편결제,모바일앱,정상
Q1-00424,2026-03-20,2156,3035,4,0.0,카드,웹,정상
Q1-00425,2026-01-10,2160,3005,1,0.15,카드,웹,정상
Q1-00426,2026-01-09,2026,3045,3,,카드,오프라인,정상
Q1-00427,2026-01-08,2019,3042,1,0.1,카드,웹,정상
Q1-00428,2026-03-13,2040,3006,2,0.1,무통장,모바일앱,정상
Q1-00429,2026-01-29,2137,3053,4,0.05,카드,모바일앱,정상
Q1-00430,2026-01-30,2074,3037,2,0.0,간편결제,모바일앱,정상
Q1-00431,2026-01-02,2139,3005,2,0.0,간편결제,웹,정상
Q1-00432,2026-03-29,2104,3028,5,0.05,간편결제,모바일앱,정상
Q1-00433,2026-02-09,2089,3046,1,0.0,간편결제,웹,정상
Q1-00434,2026-03-13,2046,3016,1,0.15,카드,모바일앱,정상
Q1-00435,2026-03-05,2056,3052,5,0.05,카드,웹,정상
Q1-00436,2026-01-13,2024,3024,3,0.0,카드,모바일앱,정상
Q1-00437,2026-03-14,2084,3013,1,0.0,카드,모바일앱,정상
Q1-00438,2026-02-19,2045,3020,3,,간편결제,웹,정상
Q1-00439,2026-02-24,2047,3029,3,0.0,카드,웹,정상
Q1-00440,2026-01-19,2007,3038,2,0.0,카드,모바일앱,정상
Q1-00441,2026-03-18,2128,3052,3,0.0,카드,웹,환불
Q1-00442,2026-03-25,2151,3011,4,0.1,계좌이체,웹,정상
Q1-00443,2026-02-06,2080,3053,2,,간편결제,모바일앱,정상
Q1-00444,2026-01-09,2086,3030,5,0.0,카드,오프라인,정상
Q1-00445,2026-03-18,2149,3008,3,0.2,간편결제,모바일앱,환불
Q1-00446,2026-03-21,2082,3051,5,0.0,계좌이체,모바일앱,정상
Q1-00447,2026-02-15,2100,3020,1,0.1,간편결제,오프라인,정상
Q1-00448,2026-02-22,2069,3035,2,0.0,카드,모바일앱,정상
Q1-00449,2026-01-21,2083,3039,4,0.05,계좌이체,모바일앱,정상
Q1-00450,2026-01-07,2084,3001,5,0.1,카드,모바일앱,정상
Q1-00451,2026-03-26,2114,3013,2,0.05,카드,웹,정상
Q1-00452,2026-02-13,2097,3038,5,0.0,간편결제,웹,정상
Q1-00453,2026-01-25,2081,3018,1,0.15,계좌이체,모바일앱,정상
Q1-00454,2026-03-04,2013,3001,3,,카드,웹,정상
Q1-00455,2026-01-03,2145,3002,2,0.05,간편결제,모바일앱,정상
Q1-00456,2026-01-08,2143,3046,3,0.1,카드,웹,정상
Q1-00457,2026-01-22,2030,3009,5,0.1,계좌이체,모바일앱,정상
Q1-00458,2026-02-10,2047,3006,4,0.0,무통장,웹,정상
Q1-00459,2026-02-03,2156,3031,4,0.15,계좌이체,모바일앱,정상
Q1-00460,2026-01-17,2052,3007,2,0.0,간편결제,모바일앱,정상
Q1-00283,2026-02-01,2133,3019,2,0.2,카드,웹,정상
Q1-00198,2026-02-17,2120,3022,5,0.0,간편결제,오프라인,정상
Q1-00202,2026-01-08,2159,3019,4,0.0,카드,모바일앱,정상
Q1-00219,2026-01-14,2141,3044,2,0.1,카드,모바일앱,정상
Q1-00411,2026-03-26,2143,3052,4,0.15,카드,모바일앱,정상
