생산ID,생산일자,설비ID,작업자ID,제품유형,교대,생산수량,온도,압력,진동,사이클타임,불량수량
FEB-00289,2026-02-05,M08,OP011,기어,야간,171,57.2,112.5,1.19,48.7,5
FEB-00290,2026-02-26,M02,OP008,기어,야간,227,54.5,96.8,4.31,49.4,9
FEB-00291,2026-02-09,M04,OP028,브라켓,야간,220,54.3,120.3,1.57,63.6,3
FEB-00292,2026-02-12,M05,OP006,하우징,야간,220,61.4,89.8,5.15,48.4,9
FEB-00293,2026-02-09,M01,OP004,브라켓,주간,149,56.8,104.3,2.89,44.0,2
FEB-00294,2026-02-28,M06,OP018,기어,주간,88,55.2,103.1,4.23,61.1,3
FEB-00295,2026-02-14,M06,OP018,샤프트,야간,247,55.9,95.1,4.07,45.8,8
FEB-00296,2026-02-04,M05,OP017,하우징,주간,248,66.0,108.6,2.85,36.8,5
FEB-00297,2026-02-01,M07,OP005,브라켓,주간,225,56.0,120.7,2.91,42.8,7
FEB-00298,2026-02-28,M10,OP015,샤프트,야간,161,51.9,120.0,2.53,39.3,4
FEB-00299,2026-02-07,M10,OP028,하우징,주간,127,43.5,113.7,3.83,35.4,2
FEB-00300,2026-02-22,M01,OP003,하우징,주간,109,46.4,84.6,2.86,45.5,2
FEB-00301,2026-02-01,M08,OP024,샤프트,주간,143,52.2,89.0,2.54,47.5,1
FEB-00302,2026-02-26,M11,OP004,기어,주간,136,54.3,107.0,3.63,56.3,4
FEB-00303,2026-02-19,M11,OP008,샤프트,야간,126,51.7,104.6,2.48,52.4,3
FEB-00304,2026-02-07,M04,OP027,샤프트,주간,241,57.1,99.0,2.94,52.1,3
FEB-00305,2026-02-25,M10,OP009,브라켓,주간,192,51.6,127.9,3.29,41.7,2
FEB-00306,2026-02-09,M10,OP016,기어,주간,117,49.5,106.3,2.69,54.2,2
FEB-00307,2026-02-28,M05,OP012,하우징,야간,188,58.7,111.5,2.81,57.7,6
FEB-00308,2026-02-17,M11,OP019,하우징,주간,199,63.2,116.9,4.43,50.8,5
FEB-00309,2026-02-13,M08,OP013,브라켓,주간,168,48.4,105.7,3.04,51.0,4
FEB-00310,2026-02-02,M10,OP014,기어,야간,240,56.5,136.1,2.91,39.1,6
FEB-00311,2026-02-08,M09,OP025,기어,주간,244,43.6,93.7,3.06,55.4,3
FEB-00312,2026-02-02,M10,OP017,샤프트,야간,153,46.2,97.7,3.56,60.5,3
FEB-00313,2026-02-24,M12,OP017,하우징,주간,160,51.5,93.7,2.37,50.3,5
FEB-00314,2026-02-03,M11,OP025,기어,주간,116,61.8,123.8,3.54,43.8,1
FEB-00315,2026-02-04,M06,OP013,하우징,주간,213,50.3,114.6,3.4,46.9,3
FEB-00316,2026-02-04,M07,OP025,기어,야간,238,50.1,98.5,,45.1,7
FEB-00317,2026-02-28,M08,OP022,샤프트,주간,191,55.2,94.6,4.64,45.5,6
FEB-00318,2026-02-28,M11,OP027,브라켓,주간,114,55.2,121.6,4.37,52.5,3
FEB-00319,2026-02-21,M05,OP014,브라켓,주간,168,50.3,109.3,2.56,50.0,4
FEB-00320,2026-02-03,M04,OP017,기어,주간,215,66.9,121.9,2.3,55.0,5
FEB-00321,2026-02-15,M09,OP004,하우징,야간,87,53.4,104.3,3.38,50.6,2
FEB-00322,2026-02-27,M12,OP004,기어,야간,180,55.7,111.1,2.06,42.0,4
FEB-00323,2026-02-03,M11,OP004,하우징,주간,191,52.6,108.6,4.29,44.5,5
FEB-00324,2026-02-23,M02,OP019,기어,주간,171,57.6,97.5,2.83,44.1,3
FEB-00325,2026-02-01,M12,OP010,기어,주간,189,62.4,103.3,4.5,46.7,4
FEB-00326,2026-02-23,M10,OP009,샤프트,야간,232,65.0,90.8,2.54,60.6,7
FEB-00327,2026-02-16,M02,OP019,샤프트,주간,101,50.4,110.9,3.11,61.7,3
FEB-00328,2026-02-25,M01,OP012,하우징,주간,177,61.6,114.1,4.21,53.9,5
FEB-00329,2026-02-12,M03,OP005,기어,야간,215,58.3,116.9,2.94,48.8,6
FEB-00330,2026-02-22,M12,OP017,샤프트,야간,219,60.8,113.0,3.42,38.5,7
